date,supplier_name,supplier_code,part_number,part_desc,lot_id,qty_received,qty_inspected,defects_found,defect_type,severity
2025-01-01,Cascade Pumps Inc.,S005,HS-3003,Hose Assembly - 3/8in,LOT-250101-204,195,89,1,Leak,Minor
2025-01-02,Cascade Pumps Inc.,S005,PM-5005,Pump Module,LOT-250102-323,184,84,3,Dimensional OOT,Minor
2025-01-02,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250102-716,216,73,0,,
2025-01-02,ArcticManifold Ltd.,S001,PM-5005,Pump Module,LOT-250102-303,201,92,0,,
2025-01-02,ArcticManifold Ltd.,S001,PM-5005,Pump Module,LOT-250102-384,191,101,1,Dimensional OOT,Minor
2025-01-02,Cascade Pumps Inc.,S005,CP-1001,Coldplate - 100mm,LOT-250102-877,201,81,0,,
2025-01-03,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250103-881,192,70,1,Dimensional OOT,Minor
2025-01-03,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250103-967,200,76,2,Leak,Minor
2025-01-04,ArcticManifold Ltd.,S001,HS-3003,Hose Assembly - 3/8in,LOT-250104-649,192,60,4,Contamination,Major
2025-01-04,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250104-180,221,64,0,,
2025-01-04,ArcticManifold Ltd.,S001,HS-3003,Hose Assembly - 3/8in,LOT-250104-949,215,85,0,,
2025-01-05,Glacier Hose & Clamp,S003,HS-3003,Hose Assembly - 3/8in,LOT-250105-146,214,88,3,Dimensional OOT,Major
2025-01-05,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250105-975,212,67,2,Contamination,Critical
2025-01-05,ArcticManifold Ltd.,S001,CP-1001,Coldplate - 100mm,LOT-250105-954,205,77,1,Dimensional OOT,Minor
2025-01-05,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250105-373,210,78,1,Dimensional OOT,Minor
2025-01-05,ArcticManifold Ltd.,S001,CP-1001,Coldplate - 100mm,LOT-250105-846,209,102,2,Cosmetic,Minor
2025-01-06,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250106-755,201,81,1,Dimensional OOT,Critical
2025-01-06,Cascade Pumps Inc.,S005,PM-5005,Pump Module,LOT-250106-886,200,71,1,Leak,Minor
2025-01-07,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250107-167,188,67,3,Contamination,Minor
2025-01-08,ArcticManifold Ltd.,S001,PM-5005,Pump Module,LOT-250108-771,214,83,1,Contamination,Minor
2025-01-08,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250108-758,221,69,0,,
2025-01-09,ArcticManifold Ltd.,S001,HS-3003,Hose Assembly - 3/8in,LOT-250109-242,197,40,0,,
2025-01-09,ArcticManifold Ltd.,S001,PM-5005,Pump Module,LOT-250109-538,181,77,2,Dimensional OOT,Major
2025-01-09,Cascade Pumps Inc.,S005,PM-5005,Pump Module,LOT-250109-508,209,79,0,,
2025-01-09,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250109-605,191,80,1,Documentation,Minor
2025-01-10,Cascade Pumps Inc.,S005,CP-1001,Coldplate - 100mm,LOT-250110-263,190,71,1,Contamination,Minor
2025-01-11,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250111-494,207,91,0,,
2025-01-11,Glacier Hose & Clamp,S003,PM-5005,Pump Module,LOT-250111-666,205,66,2,Documentation,Minor
2025-01-11,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250111-649,192,81,2,Cosmetic,Minor
2025-01-11,Glacier Hose & Clamp,S003,HS-3003,Hose Assembly - 3/8in,LOT-250111-400,188,88,1,Contamination,Minor
2025-01-12,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250112-836,228,68,3,Leak,Major
2025-01-12,Cascade Pumps Inc.,S005,PM-5005,Pump Module,LOT-250112-208,219,95,2,Contamination,Minor
2025-01-12,ArcticManifold Ltd.,S001,HS-3003,Hose Assembly - 3/8in,LOT-250112-303,201,83,2,Contamination,Minor
2025-01-12,ArcticManifold Ltd.,S001,HS-3003,Hose Assembly - 3/8in,LOT-250112-897,194,89,1,Contamination,Minor
2025-01-13,Cascade Pumps Inc.,S005,CP-1001,Coldplate - 100mm,LOT-250113-713,184,84,0,,
2025-01-13,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250113-999,184,95,2,Leak,Critical
2025-01-13,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250113-680,209,97,1,Leak,Minor
2025-01-13,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250113-170,217,66,1,Leak,Minor
2025-01-13,ArcticManifold Ltd.,S001,PM-5005,Pump Module,LOT-250113-586,190,78,4,Contamination,Minor
2025-01-14,ArcticManifold Ltd.,S001,HS-3003,Hose Assembly - 3/8in,LOT-250114-316,205,121,2,Dimensional OOT,Major
2025-01-14,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250114-830,186,63,4,Contamination,Major
2025-01-14,ArcticManifold Ltd.,S001,QD-4004,Quick Disconnect - 1/4in,LOT-250114-548,195,78,5,Documentation,Major
2025-01-14,Cascade Pumps Inc.,S005,PM-5005,Pump Module,LOT-250114-165,191,73,1,Dimensional OOT,Minor
2025-01-14,ArcticManifold Ltd.,S001,CP-1001,Coldplate - 100mm,LOT-250114-325,202,89,1,Cosmetic,Minor
2025-01-15,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250115-980,182,85,3,Leak,Critical
2025-01-16,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250116-319,209,93,2,Leak,Major
2025-01-16,Polar Precision Machining,S002,MN-2002,Manifold Block,LOT-250116-690,200,88,4,Cosmetic,Major
2025-01-16,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250116-903,213,62,0,,
2025-01-17,Cascade Pumps Inc.,S005,QD-4004,Quick Disconnect - 1/4in,LOT-250117-294,203,114,0,,
2025-01-17,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250117-520,204,66,1,Cosmetic,Minor
2025-01-17,ArcticManifold Ltd.,S001,CP-1001,Coldplate - 100mm,LOT-250117-789,212,69,0,,
2025-01-17,Cascade Pumps Inc.,S005,CP-1001,Coldplate - 100mm,LOT-250117-919,201,100,6,Leak,Major
2025-01-18,Cascade Pumps Inc.,S005,MN-2002,Manifold Block,LOT-250118-532,201,70,2,Leak,Minor
2025-01-19,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250119-553,175,68,1,Leak,Critical
2025-01-19,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250119-653,184,106,3,Leak,Major
2025-01-20,Boreal Quick Disconnects,S004,MN-2002,Manifold Block,LOT-250120-318,191,85,3,Leak,Minor
2025-01-21,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250121-268,197,99,0,,
2025-01-21,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250121-902,180,76,1,Documentation,Minor
2025-01-21,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250121-392,200,76,0,,
2025-01-21,Boreal Quick Disconnects,S004,PM-5005,Pump Module,LOT-250121-294,205,78,1,Cosmetic,Minor
2025-01-22,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250122-693,200,65,0,,
2025-01-22,Boreal Quick Disconnects,S004,PM-5005,Pump Module,LOT-250122-151,206,89,2,Leak,Minor
2025-01-22,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250122-261,195,111,1,Dimensional OOT,Major
2025-01-23,ArcticManifold Ltd.,S001,CP-1001,Coldplate - 100mm,LOT-250123-169,195,72,1,Contamination,Minor
2025-01-24,Polar Precision Machining,S002,CP-1001,Coldplate - 100mm,LOT-250124-683,216,71,0,,
2025-01-24,Glacier Hose & Clamp,S003,PM-5005,Pump Module,LOT-250124-529,208,85,3,Cosmetic,Major
2025-01-25,Glacier Hose & Clamp,S003,PM-5005,Pump Module,LOT-250125-785,191,91,7,Leak,Minor
2025-01-25,Glacier Hose & Clamp,S003,HS-3003,Hose Assembly - 3/8in,LOT-250125-787,196,69,4,Leak,Minor
2025-01-25,ArcticManifold Ltd.,S001,HS-3003,Hose Assembly - 3/8in,LOT-250125-174,217,92,1,Dimensional OOT,Critical
2025-01-25,ArcticManifold Ltd.,S001,QD-4004,Quick Disconnect - 1/4in,LOT-250125-202,222,72,4,Cosmetic,Minor
2025-01-25,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250125-457,195,84,4,Leak,Minor
2025-01-26,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250126-478,203,53,0,,
2025-01-27,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250127-953,207,89,0,,
2025-01-27,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250127-769,200,48,3,Cosmetic,Critical
2025-01-27,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250127-779,194,86,1,Cosmetic,Minor
2025-01-28,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250128-860,179,73,3,Leak,Major
2025-01-29,Boreal Quick Disconnects,S004,HS-3003,Hose Assembly - 3/8in,LOT-250129-451,209,58,1,Leak,Minor
2025-01-29,ArcticManifold Ltd.,S001,HS-3003,Hose Assembly - 3/8in,LOT-250129-966,211,49,4,Dimensional OOT,Minor
2025-01-29,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250129-749,180,79,0,,
2025-01-29,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250129-233,180,99,3,Leak,Minor
2025-01-29,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250129-265,238,90,0,,
2025-01-30,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250130-807,238,81,7,Dimensional OOT,Minor
2025-01-30,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250130-696,174,80,2,Dimensional OOT,Major
2025-01-30,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250130-473,208,98,6,Dimensional OOT,Minor
2025-01-30,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250130-355,166,112,1,Contamination,Minor
2025-01-31,Boreal Quick Disconnects,S004,PM-5005,Pump Module,LOT-250131-995,186,95,0,,
2025-02-01,Boreal Quick Disconnects,S004,MN-2002,Manifold Block,LOT-250201-266,208,94,2,Documentation,Minor
2025-02-01,Polar Precision Machining,S002,MN-2002,Manifold Block,LOT-250201-854,210,90,3,Contamination,Minor
2025-02-01,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250201-785,166,97,5,Contamination,Minor
2025-02-01,Polar Precision Machining,S002,MN-2002,Manifold Block,LOT-250201-210,183,85,3,Leak,Major
2025-02-02,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250202-979,216,56,0,,
2025-02-02,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250202-458,218,102,5,Leak,Critical
2025-02-02,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250202-508,217,63,3,Leak,Major
2025-02-02,Boreal Quick Disconnects,S004,HS-3003,Hose Assembly - 3/8in,LOT-250202-385,204,95,3,Contamination,Critical
2025-02-03,Glacier Hose & Clamp,S003,PM-5005,Pump Module,LOT-250203-649,180,103,2,Dimensional OOT,Critical
2025-02-03,ArcticManifold Ltd.,S001,CP-1001,Coldplate - 100mm,LOT-250203-282,217,95,2,Leak,Critical
2025-02-03,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250203-453,182,89,4,Leak,Minor
2025-02-04,Cascade Pumps Inc.,S005,PM-5005,Pump Module,LOT-250204-690,187,54,1,Documentation,Minor
2025-02-04,Cascade Pumps Inc.,S005,HS-3003,Hose Assembly - 3/8in,LOT-250204-632,222,102,2,Leak,Minor
2025-02-04,ArcticManifold Ltd.,S001,PM-5005,Pump Module,LOT-250204-854,205,79,1,Cosmetic,Critical
2025-02-05,ArcticManifold Ltd.,S001,QD-4004,Quick Disconnect - 1/4in,LOT-250205-438,198,48,1,Leak,Major
2025-02-05,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250205-407,189,63,1,Cosmetic,Minor
2025-02-06,Cascade Pumps Inc.,S005,QD-4004,Quick Disconnect - 1/4in,LOT-250206-434,221,65,0,,
2025-02-06,ArcticManifold Ltd.,S001,HS-3003,Hose Assembly - 3/8in,LOT-250206-667,164,67,0,,
